CC,Data_Sorteio,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Ganhador
2435,29/01/2022,2,4,5,6,7,10,11,12,13,15,16,19,20,21,22,4
2436,31/01/2022,2,3,4,6,8,9,12,14,15,16,17,19,20,21,23,1
2437,01/02/2022,1,2,7,8,9,10,11,13,14,15,17,18,20,21,25,1
2438,02/02/2022,1,4,5,6,8,11,12,13,14,16,18,19,22,23,24,2
2439,03/02/2022,2,5,7,8,9,10,11,13,15,16,17,20,21,23,25,5
2440,04/02/2022,3,4,5,6,8,9,11,14,16,18,20,21,22,24,25,4
2441,05/02/2022,1,3,7,8,9,10,11,13,15,18,20,21,22,24,25,3
2442,07/02/2022,1,6,7,10,11,12,14,15,16,17,18,19,21,22,25,2
2443,08/02/2022,2,3,5,6,7,9,10,14,15,16,17,20,21,22,23,3
2444,09/02/2022,3,4,5,6,8,9,10,11,12,14,16,17,18,19,25,2
2445,10/02/2022,1,2,5,6,7,8,10,11,13,15,18,21,22,23,25,0
2446,11/02/2022,4,6,8,11,12,13,15,17,19,20,21,22,23,24,25,2
2447,12/02/2022,2,3,4,5,8,13,14,15,16,17,18,19,20,22,23,1
2448,14/02/2022,2,3,4,5,6,8,9,11,12,14,16,19,20,22,24,2
2449,15/02/2022,1,2,4,8,9,11,13,14,15,16,17,18,20,21,22,0
2450,16/02/2022,1,2,3,4,5,7,8,11,13,14,15,18,23,24,25,1
2451,17/02/2022,3,4,5,7,9,10,11,15,18,19,20,22,23,24,25,1
2452,18/02/2022,1,6,7,8,9,11,15,17,18,20,21,22,23,24,25,0
2453,19/02/2022,4,5,7,8,10,12,13,16,17,19,21,22,23,24,25,1
2454,21/02/2022,1,2,4,6,8,9,10,12,15,16,20,21,23,24,25,1
2455,22/02/2022,1,2,3,8,10,11,12,13,14,16,19,22,23,24,25,3
2456,23/02/2022,4,5,6,8,9,10,12,13,14,17,18,19,21,24,25,0
2457,24/02/2022,1,3,5,8,10,11,14,15,16,18,20,22,23,24,25,5
2458,25/02/2022,1,2,3,4,6,8,10,11,12,16,18,21,22,24,25,1
2459,26/02/2022,1,3,5,6,11,12,14,15,17,18,19,20,21,23,25,1
2460,02/03/2022,1,2,3,4,5,6,9,11,12,14,15,18,19,23,25,3
2461,03/03/2022,1,2,5,7,10,13,14,15,17,18,19,20,21,22,24,1
2462,04/03/2022,3,4,5,9,10,11,12,14,15,16,17,18,20,22,25,2
2463,05/03/2022,5,7,9,10,11,12,13,14,15,17,18,20,21,23,25,1
2464,07/03/2022,1,5,6,7,9,11,13,16,17,20,21,22,23,24,25,3
2465,08/03/2022,2,5,6,7,8,10,11,13,14,15,17,18,19,21,25,2
2466,09/03/2022,1,2,5,7,8,9,12,13,14,17,19,20,21,24,25,18
2467,10/03/2022,5,6,8,10,11,12,14,15,16,18,20,21,22,23,25,3
2468,11/03/2022,3,4,7,8,9,12,13,17,18,19,20,21,22,23,24,1
2469,12/03/2022,1,2,4,5,6,7,11,13,17,18,19,20,21,24,25,2
2470,14/03/2022,1,3,4,5,6,9,10,11,12,13,21,22,23,24,25,4
2471,15/03/2022,2,3,4,5,8,9,14,17,18,19,20,21,23,24,25,0
2472,16/03/2022,2,3,4,9,10,12,13,15,16,17,21,22,23,24,25,2
2473,17/03/2022,1,4,6,7,8,9,10,14,16,18,19,20,21,23,25,1
2474,18/03/2022,1,2,5,6,8,9,11,14,15,17,19,20,23,24,25,8
2475,19/03/2022,1,3,4,5,6,7,11,13,15,16,18,19,22,24,25,2
2476,21/03/2022,1,6,9,10,11,12,13,15,16,17,18,21,22,23,24,0
2477,22/03/2022,1,2,3,5,7,8,9,10,13,14,15,18,19,20,24,4
2478,23/03/2022,1,5,7,8,10,11,12,14,15,16,21,22,23,24,25,1
2479,24/03/2022,2,3,4,5,7,11,12,14,17,19,20,21,23,24,25,1
2480,25/03/2022,1,2,5,6,7,9,10,12,13,14,15,16,17,21,24,3
2481,26/03/2022,2,3,5,6,7,9,10,13,14,15,17,18,20,21,25,1
2482,28/03/2022,3,5,6,7,9,11,12,13,14,16,17,20,21,24,25,0
2483,29/03/2022,2,3,6,7,8,10,13,14,15,16,19,20,22,23,25,7
2484,30/03/2022,4,5,6,8,10,11,12,14,15,17,19,21,22,23,25,1
2485,31/03/2022,1,2,3,8,10,12,14,15,17,18,20,21,23,24,25,2
2486,01/04/2022,1,2,4,5,8,9,10,11,12,18,19,20,23,24,25,4
2487,02/04/2022,1,2,6,8,10,11,12,13,14,16,18,20,22,23,24,2
2488,04/04/2022,1,2,4,5,6,7,9,11,12,13,16,20,21,22,24,0
2489,05/04/2022,1,4,5,7,8,10,11,13,14,16,18,21,22,23,24,3
2490,06/04/2022,1,3,4,5,6,10,12,13,14,15,16,19,20,24,25,1
2491,07/04/2022,1,2,3,4,5,6,9,11,14,17,18,19,21,22,24,0
2492,08/04/2022,4,7,8,9,10,11,12,13,14,15,17,20,22,23,24,1
2493,09/04/2022,2,3,6,7,9,10,11,12,14,15,16,18,20,21,25,1
2494,11/04/2022,1,2,4,5,6,8,9,10,12,13,16,18,23,24,25,1
2495,12/04/2022,3,5,9,10,12,13,14,15,16,17,18,19,21,24,25,0
2496,13/04/2022,2,3,4,8,9,10,11,13,17,18,20,22,23,24,25,3
2497,14/04/2022,2,6,7,8,9,11,12,14,15,18,19,20,22,23,25,2
2498,16/04/2022,1,2,5,6,7,8,9,11,12,17,18,19,20,22,25,2
2499,18/04/2022,2,3,4,5,7,8,11,12,14,16,17,19,20,22,23,2
2500,19/04/2022,3,4,5,6,9,11,12,13,14,15,17,18,19,21,25,2
2501,20/04/2022,1,2,3,4,5,6,7,8,9,11,19,20,22,23,25,1
2502,22/04/2022,2,3,4,5,9,11,12,13,15,18,20,21,23,24,25,3
2503,23/04/2022,1,2,3,4,6,7,9,10,11,12,13,18,19,20,22,2
2504,25/04/2022,3,5,7,8,12,13,14,15,16,17,20,21,22,23,24,1
2505,26/04/2022,1,2,3,4,6,8,9,10,17,18,19,21,23,24,25,1
2506,27/04/2022,3,4,5,8,9,10,11,14,15,16,18,19,20,22,25,2
2507,28/04/2022,3,4,5,7,8,9,10,11,13,14,15,16,19,20,25,1
2508,29/04/2022,1,2,5,6,7,10,11,12,14,15,17,18,19,20,21,3
2509,30/04/2022,2,3,4,5,9,10,11,12,13,14,19,21,22,23,25,1
